Sentence,Sentiment,Translated_Sentence,Translated_Sentiment
"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .",positive,"A tecnologia GeoSolutions irá alavancar as soluções GPS da Benefon, fornecendo Tecnologia de Pesquisa Baseada em Localização, uma Plataforma de Comunidades, conteúdo multimédia relevante em termos de localização e um novo e poderoso modelo comercial.",positivo
"$ESI on lows, down $1.50 to $2.50 BK a real possibility",negative,"$ESI em mínimos, queda de US$ 1,50 para US$ 2,50 BK, uma possibilidade real",negativo
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,"No último trimestre de 2010, as vendas líquidas da Componenta duplicaram para 131 milhões de euros, face aos 76 milhões de euros registados no mesmo período do ano anterior, ao mesmo tempo que passou para um lucro antes de impostos nulo, a partir de uma perda antes de impostos de 7 milhões de euros.",positivo
"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .",neutral,"De acordo com a Câmara de Comércio Finlandês-Russa, todas as principais empresas de construção da Finlândia operam na Rússia.",neutro
"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .",neutral,"A empresa de aquisição sueca vendeu a sua participação restante de 22,4 por cento, quase dezoito meses depois de abrir o capital da empresa na Finlândia.",neutro
$SPY wouldn't be surprised to see a green close,positive,$SPY não ficaria surpreso em ver um fechamento verde,positivo
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,negative,Acordo BG de US$ 70 bilhões da Shell atende ao ceticismo dos acionistas,negativo
"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",negative,COMUNICADO DA BOLSA DE VALORES SSH COMMUNICATIONS SECURITY CORP 14 DE OUTUBRO DE 2008 ÀS 14h45 A Empresa atualiza sua perspectiva para o ano inteiro e estima que seus resultados permanecerão negativos para o ano inteiro.,negativo
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,positive,As vendas líquidas da Kone aumentaram cerca de 14 % em relação ao ano anterior nos primeiros nove meses de 2008 .,positivo
"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .",neutral,A loja de departamentos Stockmann terá uma área total de mais de 8.000 metros quadrados e o investimento da Stockmann no projeto terá um preço de cerca de 12 milhões de euros.,neutro
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive,As receitas de circulação aumentaram 5 % na Finlândia e 4 % na Suécia em 2008 .,positivo
$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,negative,$SAP Q1 decepciona com a redução das licenças de #software. Problema real? #Trilhas de crescimento da nuvem $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,negativo
"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .",positive,"A subdivisão obteve receitas de vendas no ano passado de 480,7 milhões de euros, 414,9 milhões de euros em 2008 e lucros operacionais de 44,5 milhões de euros e 7,4 milhões de euros.",positivo
Viking Line has canceled some services .,neutral,A Viking Line cancelou alguns serviços.,neutro
"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",neutral,Ahlstrom Corporation COMUNICADO NA BOLSA DE VALORES 2.7.2007 às 10h30 Um total de 56.955 novas ações da Ahlstrom Corporation foram subscritas com direitos de opção no âmbito dos programas de opções de ações da empresa I 2001 e II 2001 .,neutro
$FB gone green on day,positive,$FB ficou verde no dia,positivo
